video_id,views,likes,comments,crawl_date
17GA347XCl0,990,0,5,2025-11-25T03:45:55.207337+00:00
17YHnPZE7QM,70826,1015,3,2025-11-25T03:45:55.207340+00:00
18Rg0v94eQI,1714,11,1,2025-11-25T03:45:55.207343+00:00
19MWT7eFhvw,106144,0,31,2025-11-25T03:45:55.207346+00:00
19f2aJJmOQc,513370,32392,247,2025-11-25T03:45:55.207349+00:00
1ANU2Ofz55Q,7428,65,3,2025-11-25T03:45:55.207352+00:00
1AoNroZkSnM,35332,191,0,2025-11-25T03:45:55.207355+00:00
1BjNC4ljVNk,1383,27,0,2025-11-25T03:45:55.207358+00:00
1CopGTCxZNQ,6355,544,36,2025-11-25T03:45:55.207362+00:00
1Dtsu5D45L0,6962,422,0,2025-11-25T03:45:55.207364+00:00
1E-yR6xWbI4,1456,9,0,2025-11-25T03:45:55.207367+00:00
1EpQmbXtt2o,485082,4878,207,2025-11-25T03:45:55.207370+00:00
1G9PGI9NZ7k,191996,2558,38,2025-11-25T03:45:55.207373+00:00
1G_BRUdvC0A,363,34,7,2025-11-25T03:45:55.207376+00:00
1Ge9GUP9nZg,17545,33,1,2025-11-25T03:45:55.207379+00:00
1IY6QVQHepE,193,0,0,2025-11-25T03:45:55.207382+00:00
1Nc9uSW3Tuw,53783,1034,5,2025-11-25T03:45:55.207384+00:00
1O2cI5_79Ms,1225,20,0,2025-11-25T03:45:55.207387+00:00
1OEBHRlduaE,7969,126,0,2025-11-25T03:45:55.207390+00:00
1OVMIr3OsGk,1354137,14501,58,2025-11-25T03:45:55.207393+00:00
1OWx3cdxOkA,14064,1124,19,2025-11-25T03:45:55.207396+00:00
1SGvQG8RDrs,12080,40,0,2025-11-25T03:45:55.207399+00:00
1TkdJ4L3Sfw,20624,809,24,2025-11-25T03:45:55.849274+00:00
1WaIa5tLaQo,367609,5285,435,2025-11-25T03:45:55.849293+00:00
1XoR_5Xfr-g,78,2,0,2025-11-25T03:45:55.849298+00:00
1_Mbh9VdyPU,27201,122,29,2025-11-25T03:45:55.849301+00:00
1_TNk1yV_0c,13,3,1,2025-11-25T03:45:55.849305+00:00
1cQaVqbjxMo,11835,1024,10,2025-11-25T03:45:55.849308+00:00
1cZgBujJy1w,33474,1649,5,2025-11-25T03:45:55.849311+00:00
1cir8OeimpY,32996,305,0,2025-11-25T03:45:55.849315+00:00
1diN5WX5qsY,6601,74,14,2025-11-25T03:45:55.849317+00:00
1fbjvs7iYXs,1489,51,4,2025-11-25T03:45:55.849320+00:00
1gJLwtU1xUg,57,2,0,2025-11-25T03:45:55.849323+00:00
1hDIu1xKG7w,20480,131,4,2025-11-25T03:45:55.849326+00:00
1iJI-3JZRew,130632,3123,6,2025-11-25T03:45:55.849329+00:00
1icmZV3Nq14,1462,0,0,2025-11-25T03:45:55.849332+00:00
1jNftY8nSzs,513321,5989,14,2025-11-25T03:45:55.849335+00:00
1k3yocWGCIc,1033590,5309,1,2025-11-25T03:45:55.849338+00:00
1kXoMMILCRA,9967,427,2,2025-11-25T03:45:55.849341+00:00
1lkeoFlRwIk,62,3,0,2025-11-25T03:45:55.849343+00:00
1ls9C2KpT28,3997,74,1,2025-11-25T03:45:55.849346+00:00
1nCj3Vl-buc,17929,151,0,2025-11-25T03:45:55.849349+00:00
1oL5i-v2ArE,565,1,0,2025-11-25T03:45:55.849352+00:00
1pII-SmxTAs,41989,3489,32,2025-11-25T03:45:55.849355+00:00
1rC9P6EDzPA,1,0,0,2025-11-25T03:45:55.849358+00:00
1rNV92AE0cE,14709,102,0,2025-11-25T03:45:55.849361+00:00
1rg8w78Xbug,10563,51,0,2025-11-25T03:45:55.849363+00:00
1sPwZeopd0g,19855,845,9,2025-11-25T03:45:55.849366+00:00
1sm8yyA_q4M,183,14,0,2025-11-25T03:45:55.849369+00:00
1smFwoU8-2I,239,2,3,2025-11-25T03:45:55.849372+00:00
1synZxMUduo,3028,0,11,2025-11-25T03:45:55.849375+00:00
1upIVGXvP8E,27076,348,1,2025-11-25T03:45:55.849377+00:00
1vnWhWgB1kg,5415,32,0,2025-11-25T03:45:55.849380+00:00
1wOcauUQGT4,1768,19,0,2025-11-25T03:45:55.849383+00:00
1wdpBYG8-I0,1954,29,0,2025-11-25T03:45:55.849386+00:00
1xuwlBmP6dk,37184,187,0,2025-11-25T03:45:55.849389+00:00
1yEnJejKOdw,536671,3397,10,2025-11-25T03:45:55.849392+00:00
1zw8hoxU8Yg,23962,191,1,2025-11-25T03:45:55.849394+00:00
2-eWeePfEX0,1952,52,2,2025-11-25T03:45:55.849397+00:00
20XazXY8Xbg,181614,3028,42,2025-11-25T03:45:55.849400+00:00
20XvwCMNycY,4851,6,0,2025-11-25T03:45:55.849403+00:00
215PEZQMXtU,1565,0,0,2025-11-25T03:45:55.849434+00:00
233Y3xKuXo4,9389,205,0,2025-11-25T03:45:55.849437+00:00
23yh4NbeQSM,1337,16,10,2025-11-25T03:45:55.849440+00:00
250P5po54Bs,30845,532,0,2025-11-25T03:45:55.849443+00:00
25TAtyLkm0g,5441,28,4,2025-11-25T03:45:55.849445+00:00
25dar__i_94,452612,14274,98,2025-11-25T03:45:56.451990+00:00
